bookId,new_author,clean_author,birthplace,latlong,author_used
121822.Feathered_Serpent_Part_1,,Chris Heimerdinger,,,2
25900032-the-house-on-cold-hill,"James, Peter",Peter James,,,2
39300133-holding-on-to-chaos,Lucy Score,Lucy Score,,,2
34111673-the-art-of-hiding,Amanda Prowse,Amanda Prowse,,,2
29430049-paris-for-one-and-other-stories,Jojo Moyes,Jojo Moyes,"Maidstone, Kent",,1
280865.Artists_in_Crime,Ngaio Marsh,Ngaio Marsh,Christchurch,-43.53 172.62027777777777,1
30364190-the-forbidden,Princess Der Ling,Jodi Ellen Malpas,,,2
36564601-loving-storm,Carian Cole,Carian Cole,,,2
872334.Los_cristales_so_adores,Theodore Sturgeon,Theodore Sturgeon,"Staten Island, New York",,1
31687423-the-battlemage,Taran Matharu,Taran Matharu,,,2
39664893-p-s-i-hate-you,Jane Anthony,Winter Renshaw,,,2
36989216-the-smallest-part,,Amy Harmon,,,2
24997390-a-strangeness-in-my-mind,Hassan Zerehi,Orhan Pamuk,Istanbul,41.01361111111111 28.955,1
25904473-so-sad-today,,Melissa Broder,,,2
20933645-unraveling-you,Diana A. Hicks,Jessica Sorensen,,,2
2887211-moribito,Nahoko Huehashi,Nahoko Uehashi,Tokyo,35.68972222222222 139.69222222222223,1
37460118-craven-manor,Darcy Coates,Darcy Coates,,,2
45154131-adorada-at-quinta,,Catherine Bybee,,,2
27876293-cooking-for-picasso,Camille Aubray,Camille Aubray,,,2
28077464-night-school,Lee Child,Lee Child,Coventry,52.408055555555556 -1.5105555555555554,1
131181.The_Sundial,Alfred Gatty,Shirley Jackson,San Francisco,37.7775 -122.41638888888889,1
39863269-only-a-breath-apart,Katie McGarry,Katie McGarry,,,2
240188.Are_You_Somebody_,Nuala O'Faolain,Nuala O'Faolain,,,2
3345806-angels-in-my-hair,Lorna Byrne,Lorna Byrne,Dublin,53.35 -6.260277777777778,1
22749796-dietland,Sarai Walker,Sarai Walker,,,2
7062441-che-la-festa-cominci,Niccolò Ammaniti,Niccolò Ammaniti,,,2
7036570-l-armata-perduta,Valerio Massimo Manfredi,Valerio Massimo Manfredi,Castelfranco Emilia,44.596666666666664 11.052777777777777,1
12469702-a-chance-in-the-world,,Steve Pemberton,Blackburn,53.748 -2.482,1
280412.The_Run_of_His_Life,,Jeffrey Toobin,,,2
15791154-the-hit,David Baldacci,David Baldacci,"Richmond, Virginia",37.54083333333333 -77.43666666666667,1
9473008-of-thee-i-sing,,Barack Obama,Honolulu,21.306944444444444 -157.85833333333332,1
35841774-sinful-empire,Rina Kent,Meghan March,,,2
51007311-heart-bones,Colleen Hoover,Colleen Hoover,"Sulphur Springs, Texas",33.134166666666665 -95.60194444444444,1
36266822-on-a-tuesday,Elnathan John,Whitney G.,Nigeria,9.066666666666666 7.483333333333333,2
34128663-my-defender,Maurice Bessinger,Alanea Alder,,,2
923015.Chobits_Vol_4,Clamp,CLAMP,,,2
444056.I_Am_a_Mother,Jane Clayson Johnson,Jane Clayson Johnson,,,2
69435.The_Devil_in_the_Kitchen,,Marco Pierre White,Leeds,53.800268 -1.5497207,1
1376068.Listening_Is_an_Act_of_Love,,Dave Isay,,,2
133688.The_Myth_of_You_and_Me,Leah Stewart,Leah Stewart,,,2
27692.The_Wicked_Day,Mary Stewart,Mary Stewart,,,2
16424.Peril_at_End_House,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
393474.Now_Face_to_Face,Karleen Koen,Karleen Koen,New York (state),43.0 -76.0,1
194808.To_Build_a_Fire,Jack London,Jack London,California,35.491035 -119.347852,1
84079.Witch,John Buchan,Christopher Pike,"Perth, Scotland",56.395833333333336 -3.4333333333333336,2
2330383.Revealers,Joseph Butler,Amanda Marrone,Berkshire,,2
39518.Gilda_Joyce,Jennifer Allison,Jennifer Allison,"Saline, Michigan",42.170833333333334 -83.77972222222222,1
1264696.Evermore,Taylor Swift,Lynn Viehl,"West Reading, Pennsylvania",40.33416666666667 -75.94666666666667,2
475444.Bloodline,Sidney Sheldon,Kate Cary,"Birmingham, England",,1
111011.Darkness_Before_Dawn,Sharon M. Draper,Sharon M. Draper,,,2
13729.Bleach_Volume_10,Tite Kubo,Tite Kubo,,,2
31364.What_Came_Before_He_Shot_Her,Elizabeth George,Elizabeth George,"Warren, Ohio",41.23833333333334 -80.81444444444445,1
6671690-declare,United States,Tim Powers,"Buffalo, New York",42.88638888888889 -78.87805555555556,1
251052.How_the_Light_Gets_In,Jolina Petersheim,M.J. Hyland,,,2
87989.Memoir_from_Antproof_Case,Mark Helprin,Mark Helprin,New York City,40.71277777777778 -74.00611111111111,1
586347.Junie_B_First_Grader,Barbara Park,Barbara Park,"Mount Holly, New Jersey",39.995336 -74.786473,1
156599.Last_Child_in_the_Woods,,Richard Louv,,,2
