115,18536,2155025.Desperate_Hoodwives,Meesha Mink,Meesha Mink,,,2
116,18537,10789481-the-lantern,Rosemary Sutcliff,Deborah Lawrenson,East Clandon,51.253 -0.4836,2
117,18538,6671931-sizzle,Janet Evanovich,Julie Garwood,"Kansas City, Missouri",39.09972222222222 -94.57833333333333,1
118,18539,6086315-the-league-of-extraordinary-gentlemen,,Alan Moore,Northampton,52.2303748 -0.8937527,1
119,18540,417729.Dreamsongs_Volume_I,,George R.R. Martin,,,2
120,18541,13122965-callum-harper,Fisher Amelie,Fisher Amelie,,,2
121,18542,369042.The_Vicomte_de_Bragelonne,Alexandre Dumas,Alexandre Dumas,Villers-Cotterêts,49.26 3.0906,1
122,18543,16172.Desert_Queen,,Janet Wallach,,,2
123,18544,6364521-the-nobody,George Grossmith,Jeff Lemire,,,2
124,18545,9636371-vampire-in-atlantis,Alyssa Day,Alyssa Day,,,2
125,18546,154710.Queen,E. F. Benson,Alex Haley,"Ithaca, New York",42.443333333333335 -76.5,1
126,18547,2323794.Losing_It,Valerie Bertinelli,Valerie Bertinelli,"Wilmington, Delaware",39.74583333333333 -75.54666666666667,1
127,18548,175094.Rotten,,John Lydon,"Holloway, London",51.557 -0.1173,1
128,18549,1553885.Exile,Albert Camus,Kathryn Lasky,"Indianapolis, Indiana",,1
129,18550,152383.Mary_Poppins_Opens_the_Door,P. L. Travers,P.L. Travers,Queensland,,2
130,18551,16054114-a-sexy-journey,,Jasinda Wilder,,,2
131,18552,341340.Poems_and_Prose,Ivan Sergeevich Turgenev,Gerard Manley Hopkins,"Stratford, London",51.5423 -0.00256,1
132,18553,11936279-the-technologists,Association of Surgical Technologists,Matthew Pearl,,,2
133,18554,39795.The_Dogs_of_Riga,,Henning Mankell,Stockholm,59.32944444444445 18.06861111111111,1
134,18555,6954133-the-death-and-life-of-the-great-american-school-system,,Diane Ravitch,Houston,29.762777777777778 -95.38305555555556,1
135,18556,20086.The_Mark_of_the_Crown,Jude Watson,Jude Watson,,,2
136,18557,108565.The_Collection,Thomas De Quincey,Bentley Little,Arizona,35.0 -112.0,1
137,18558,6503155-the-hellion-and-the-highlander,Lynsay Sands,Lynsay Sands,"Leamington, Ontario",42.06666666666667 -82.58333333333333,1
138,18559,14741092-softly-at-sunrise,,Maya Banks,United States,38.88333333333333 -77.01666666666667,1
139,18560,2013929.Foreign_Body,Cynthia Ozick,Robin Cook,Bellshill,55.816 -4.026,1
140,18561,6361118-la-llamada-de-los-muertos,Laura Gallego García,Laura Gallego García,Quart de Poblet,39.483333333333334 -0.44277777777777777,1
141,18562,16698.Werewolves_in_Their_Youth,Michael Chabon,Michael Chabon,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
142,18563,12989112-such-a-rush,Jennifer Echols,Jennifer Echols,,,2
143,18564,13563459-asura,,Anand Neelakantan,Thrippunithura,9.952767 76.338673,1
144,18565,15777797-truth-or-dare,Jayne Ann Krentz,Jacqueline Green,Baltimore,39.28944444444444 -76.61527777777778,1
145,18566,15709104-for-his-pleasure,Carol Marinelli,Kelly Favor,,,2
146,18567,9635325-eden,Jack London,Keary Taylor,California,35.491035 -119.347852,2
147,18568,6978605-body-and-soul,Arnold Bennett,Jordan Castillo Price,"Hanley, Staffordshire",,2
148,18569,17504941-empty-net,Roberta Ulrich,Toni Aleo,,,2
149,18570,10755443-vindicated,Mary Wollstonecraft,Keary Taylor,,,2
150,18571,23404.Regarding_the_Fountain,Kate Klise,Kate Klise,"Peoria, Illinois",40.69365 -89.58899,1
151,18572,8100979-mercy-blade,Faith Hunter,Faith Hunter,,,2
152,18573,10178549-bright-s-passage,Josh Ritter,Josh Ritter,"Moscow, Idaho",46.73 -117.0,1
153,18574,9470371-love-story,Sir Max Beerbohm,Jennifer Echols,,,2
154,18575,18078028-high-heat,Tim Wendel,Lee Child,Coventry,52.408055555555556 -1.5105555555555554,1
155,18576,1309025.Dreaming_the_Eagle,Manda Scott,Manda Scott,Glasgow,55.861111111111114 -4.25,1
156,18577,174357.Over_the_Edge,Laurence Bergreen,Suzanne Brockmann,,,2
157,18578,17452343-playing-with-her-heart,,Lauren Blakely,,,2
158,18579,1778693.King_s_Property,Morgan Howell,Morgan Howell,,,2
159,18580,89356.Cherish,Richard Shenkman,Catherine Anderson,United States,38.88333333333333 -77.01666666666667,1
160,18581,12722468-elizabeth-the-queen,,Sally Bedell Smith,"Bryn Mawr, Pennsylvania",40.02111111111111 -75.31694444444445,1
161,18582,17907518-rare-and-precious-things,Raine Miller,Raine Miller,,,2
162,18583,8460524-padang-bulan,Evi Henny Julia G.,Andrea Hirata,,,2
163,18584,107029.The_Batman_Chronicles_Vol_1,,Bill Finger,,,2
164,18585,28482.The_Hand_of_Chaos,Margaret Weis,Margaret Weis,"Independence, Missouri",39.07972222222222 -94.40666666666667,1
165,18586,20320531-the-ex-games,Jennifer Echols,J.S. Cooper,,,2
166,18587,397874.Creed,John Pearson,James Herbert,,,2
167,18588,17898228-watch-over-me,Judith McNaught,Tara Sivec,California,35.491035 -119.347852,2
168,18589,18138917-trouble,Golden Books,Non Pratt,,,2
169,18590,11060837-the-revenge-of-the-dwarves,,Markus Heitz,"Homburg, Saarland",49.31666666666667 7.333333333333333,1
170,18591,17265216-star-wars,Kevin J. Anderson,Jeffrey Brown,"Racine, Wisconsin",42.72611111111111 -87.80583333333334,2
171,18592,18247580-winters-heat,Darlene Gardner,Cristin Harber,,,2
172,18593,16101515-vortex,Clive Cussler,S.J. Kincaid,"Aurora, Illinois",41.763888888888886 -88.29,2
173,18594,20488175-the-atopia-chronicles,Matthew Mather,Matthew Mather,United Kingdom,51.5 -0.11666666666666667,1
174,18595,6414515-the-foundling,Georgette Heyer,Georgette Heyer,,,2
175,18596,7736086-the-lightning-thief,,Rick Riordan,"San Antonio, Texas",,1
176,18597,17239876-after-dead,,Charlaine Harris,"Tunica, Mississippi",34.68888888888889 -90.38055555555556,1
177,18598,20531847-interior-castle,Teresa of Avila,Teresa of Ávila,Crown of Castile,40.4175 -3.715,1
178,18599,762727.Beasts,Saki,Joyce Carol Oates,"Lockport (city), New York",43.16972222222222 -78.69111111111111,1
179,18600,18626680-all-the-pretty-lies,,Michelle Leighton,,,2
180,18601,3143472-our-magnificent-bastard-tongue,John H. McWhorter,John McWhorter,,,2
181,18602,18857004-lie-next-to-me,Sandi Lynn,Sandi Lynn,,,2
182,18603,17162435-monsters,Karim Ouaziry,Ilsa J. Bick,,,2
183,18604,43996.Dead_Sleep,Greg Iles,Greg Iles,Stuttgart,48.7775 9.18,1
184,18605,68396.The_Halfling_s_Gem,R. A. Salvatore,R.A. Salvatore,"Leominster, Massachusetts",42.525 -71.76027777777777,2
185,18606,13612031-against-the-wall,S. Prakash Sethi,Julie Prestsater,,,2
186,18607,333301.The_Return_of_Martin_Guerre,Natalie Zemon Davis,Natalie Zemon Davis,Detroit,42.33138888888889 -83.04583333333333,1
187,18608,10345708-deadly-little-lessons,Laurie Faria Stolarz,Laurie Faria Stolarz,,,2
188,18609,15786285-a-witch-s-handbook-of-kisses-and-curses,Molly Harper,Molly Harper,Kentucky,37.0 -86.0,1
189,18610,171008.Caribbean_Cruising,Donald M. Street Jr.,Rachel Hawthorne,,,2
190,18611,20454084-daring,G. A. Henty,Elliott James,"Trumpington, Cambridgeshire",,2
191,18612,10305247-the-blackhouse,Peter May,Peter May,,,2
192,18613,18775203-rusty-nailed,J. A. Konrath,Alice Clayton,"Skokie, Illinois",42.033611111111114 -87.73277777777778,2
193,18614,420747.A_Game_of_Chance,Linda Howard,Linda Howard,Alabama,33.0 -87.0,1
194,18615,21432474-wraith,Terry Brooks,Joe Hill,"Sterling, Illinois",41.79666666666667 -89.69333333333333,2
195,18616,34082.The_Waste_Land_and_Other_Writings,T. S. Eliot,T.S. Eliot,"St. Louis, Missouri",,2
196,18617,21952189-the-seduction-1,Lisa Marie Canfield,Roxy Sloane,,,2
197,18618,117369.Nobody_s_Baby_But_Mine_This_Heart_of_Mine,Susan Elizabeth Phillips,Susan Elizabeth Phillips,"Cincinnati, Ohio",,1
198,18619,18143974-the-blazing-world,Margaret Cavendish,Siri Hustvedt,"Northfield, Minnesota",44.458333333333336 -93.16111111111111,1
199,18620,94053.River_Town,Peter Hessler,Peter Hessler,,,2
200,18621,13244578-untouchable,Mulk Raj Anand,Lindsay Delagair,Peshawar,34.01444444444444 71.5675,2
201,18622,49384.Elminster,,Ed Greenwood,,,2
202,18623,2039091.Sword_of_God,Chris Kuzneski,Chris Kuzneski,"Indiana, Pennsylvania",40.61666666666667 -79.15,1
203,18624,37772.A_Man_of_the_People,Chinua Achebe,Chinua Achebe,British Nigeria,,1
204,18625,184962.Dancing_with_the_Devil,Kirk Douglas,Keri Arthur,"Amsterdam (city), New York",42.95 -74.18333333333334,2
